Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xa7f0a21370d3cdc02ef0b56f56166ec8e5cbfe41234447e4570fba29901dfebc","Success","Swap ETH","23471296","2025-09-29 21:20:35","0x86d7d69d22e060665d9f43903a6d9f9ce8dcd996","0xmiratorta.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.301643273 ETH","$1,299.67","0.00061792"
"0x5359d3648f56f4dfe1be8b0dc19e0d1e5fc5587b19fa5d128dfbb41e4c6aac32","Success","Swap ETH","23462881","2025-09-28 17:07:35","0x5bfb37447e9c6e491d2218e2344b95b73d3d1790","jovemm.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.060409268 ETH","$260.28","0.00042764"
"0x16c6d7309d97b0542b092e14eabd9e5153c4e8704178a2a606656a38f7037f78","Success","Swap ETH","23460603","2025-09-28 09:28:35","0xeb07de0d5c2ad74161ae673d28b4d89af9c76c70","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.514536335 ETH","$2,216.94","0.00043904"
"0x8b3747e23812455a14f4696cecd18352018ac67486980501f1bf6b4bf633df0b","Success","Swap ETH","23457440","2025-09-27 22:51:47","0xb068bf62c84f2d0b9fc805a176716abc5ab9f852","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.030236295 ETH","$4,438.90","0.00004592"
"0xcc6cd4fa825c3a58b8099d568942198eb23c35276ea66c64a322fec22c12eced","Success","Swap ETH","23457018","2025-09-27 21:26:35","0xa543f73f9dcf8fa4c0b93d95fb4428c30c4dec5e","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","1.000236334 ETH","$4,309.64","0.0386929"
"0x0cbe43e56e8d9c5dbe9709e515ec8a248e67676d7f70c7fcb5fdfbed577dd997","Success","Swap ETH","23456049","2025-09-27 18:12:11","0xc513fb4b979f1cefc43682ca7ab4a19cee1cacc2","ompong.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.001246814 ETH","$5.37","0.00005635"
"0x5245855a139ce82251afb6b952439e4bc9fcf1428a25c707b06f60a3f5f5cfa9","Success","Swap ETH","23454521","2025-09-27 13:04:59","0xce1227d6dabe95eadd7df126dc90ed912afe26ac","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.050261405 ETH","$216.56","0.00052598"
"0xb7b48ac0822196b82648d0604f911a1cbaa5961b6a7dd8c0171aa78514750ff8","Success","Swap ETH","23453834","2025-09-27 10:46:11","0xb7a77c0df899e94a1b13b021eb5c745c6c42d8e4","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.070259913 ETH","$302.72","0.00050611"
"0x12d79e82c44319152ef001bb3f2dc982307fcde9742ae618ebf79903f6e405fc","Success","Swap ETH","23453220","2025-09-27 08:41:47","0x79c0d518e52130d675fe14ca07acb0de64f3e8fe","matiok.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.250257204 ETH","$1,078.26","0.00031171"
"0xc0e777eccae15495eb5e068c81e9c283855c1a7f001c6c421cbc6ec66fe76deb","Success","Swap ETH","23448775","2025-09-26 17:47:59","0xc51229cc0cd775d757ceb8580c0412ac645fadc9","rimma8.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.330238134 ETH","$1,422.87","0.00081506"
